workload,complexity,strategy,gini
balanced,complex,latency_based,0.14759062609950444
balanced,complex,least_conn,0.1350493149075528
balanced,complex,load_based,0.19346456931704886
balanced,complex,round_robin,0.0
balanced,complex,weighted_rr,0.2857142855918367
balanced,medium,latency_based,0.10449602188902511
balanced,medium,least_conn,0.16043164000539037
balanced,medium,load_based,0.12459712172614752
balanced,medium,round_robin,0.0
balanced,medium,weighted_rr,0.2857142855918367
balanced,simple,latency_based,0.17324096126797922
balanced,simple,least_conn,0.1918402768484399
balanced,simple,load_based,0.15375006406669092
balanced,simple,round_robin,0.0
balanced,simple,weighted_rr,0.2857142855918367
read_heavy,complex,latency_based,0.16725121937089457
read_heavy,complex,least_conn,0.13576496681872902
read_heavy,complex,load_based,0.1365617283782563
read_heavy,complex,round_robin,0.0
read_heavy,complex,weighted_rr,0.2857142855918367
read_heavy,medium,latency_based,0.09764559666975182
read_heavy,medium,least_conn,0.13820103662726635
read_heavy,medium,load_based,0.17475468635061597
read_heavy,medium,round_robin,0.0
read_heavy,medium,weighted_rr,0.2857142855918367
read_heavy,simple,latency_based,0.24297202669760298
read_heavy,simple,least_conn,0.25386068215633956
read_heavy,simple,load_based,0.17688746306135428
read_heavy,simple,round_robin,3.832342672712772e-06
read_heavy,simple,weighted_rr,0.28571373877550116
