workload,complexity,strategy,Latency (ms),Throughput (QPS),Load CV,CPU (%)
balanced,complex,latency_based,77.67 ± 6.24,258.79 ± 20.25,0.35 ± 0.2,3.9 ± 1.27
balanced,complex,least_conn,85.54 ± 3.48,234.12 ± 9.67,0.63 ± 0.11,3.48 ± 0.85
balanced,complex,load_based,84.67 ± 4.88,236.8 ± 12.73,0.37 ± 0.19,4.6 ± 0.87
balanced,complex,round_robin,108.75 ± 7.09,184.52 ± 11.82,0.52 ± 0.27,3.75 ± 1.83
balanced,complex,weighted_rr,96.35 ± 6.48,208.33 ± 14.08,0.56 ± 0.24,5.04 ± 1.98
balanced,medium,latency_based,30.74 ± 1.2,651.47 ± 25.13,0.6 ± 0.15,3.99 ± 1.95
balanced,medium,least_conn,33.1 ± 1.77,605.68 ± 32.92,0.34 ± 0.13,3.72 ± 1.16
balanced,medium,load_based,33.63 ± 2.24,596.79 ± 40.6,0.34 ± 0.17,4.1 ± 1.2
balanced,medium,round_robin,40.64 ± 2.61,493.65 ± 30.31,0.26 ± 0.14,4.63 ± 1.26
balanced,medium,weighted_rr,35.28 ± 2.15,568.43 ± 33.25,0.6 ± 0.17,5.84 ± 1.88
balanced,simple,latency_based,10.02 ± 0.5,1999.68 ± 97.37,0.37 ± 0.27,4.26 ± 1.59
balanced,simple,least_conn,11.16 ± 0.8,1799.16 ± 133.2,0.55 ± 0.16,5.39 ± 1.81
balanced,simple,load_based,11.13 ± 0.54,1800.83 ± 88.14,0.33 ± 0.17,4.61 ± 2.44
balanced,simple,round_robin,13.26 ± 0.97,1514.57 ± 113.44,0.63 ± 0.17,4.4 ± 2.05
balanced,simple,weighted_rr,11.87 ± 0.82,1691.25 ± 113.63,0.44 ± 0.33,5.31 ± 1.46
read_heavy,complex,latency_based,79.06 ± 5.58,253.98 ± 17.64,0.38 ± 0.2,5.32 ± 0.52
read_heavy,complex,least_conn,84.25 ± 2.72,237.59 ± 7.77,0.31 ± 0.11,4.62 ± 1.74
read_heavy,complex,load_based,84.26 ± 4.09,237.81 ± 11.43,0.45 ± 0.28,4.97 ± 2.01
read_heavy,complex,round_robin,107.38 ± 7.65,187.0 ± 13.3,0.32 ± 0.11,4.67 ± 2.02
read_heavy,complex,weighted_rr,97.73 ± 4.68,205.04 ± 10.29,0.52 ± 0.23,5.02 ± 1.11
read_heavy,medium,latency_based,29.64 ± 1.83,676.75 ± 40.94,0.49 ± 0.28,6.37 ± 0.64
read_heavy,medium,least_conn,32.35 ± 2.0,620.09 ± 38.42,0.48 ± 0.24,3.84 ± 1.17
read_heavy,medium,load_based,32.74 ± 1.87,612.43 ± 33.63,0.35 ± 0.2,5.13 ± 1.63
read_heavy,medium,round_robin,40.0 ± 3.62,503.21 ± 43.76,0.4 ± 0.24,3.84 ± 2.02
read_heavy,medium,weighted_rr,35.18 ± 1.96,569.82 ± 30.25,0.42 ± 0.22,4.76 ± 1.54
read_heavy,simple,latency_based,10.22 ± 0.73,1772.41 ± 342.34,0.61 ± 0.24,4.77 ± 1.55
read_heavy,simple,least_conn,10.79 ± 0.53,1700.94 ± 431.32,0.6 ± 0.23,6.15 ± 1.08
read_heavy,simple,load_based,10.71 ± 0.71,1693.67 ± 332.92,0.42 ± 0.31,4.76 ± 1.36
read_heavy,simple,round_robin,13.11 ± 1.93,1378.91 ± 194.67,0.47 ± 0.15,5.67 ± 1.79
read_heavy,simple,weighted_rr,11.46 ± 1.18,1580.57 ± 290.48,0.56 ± 0.14,4.98 ± 1.43
